sgRNA	Gene	HL60.initial	KBM7.initial	HL60.final	KBM7.final
ABL1_p133729469	ABL1	912.9439978625165	1057.9312694840114	1038.999672740205	1225.0453151984539
ABL1_p133729492	ABL1	1084.571700462263	1137.1899639404683	1047.4257461934942	408.3484383994846
ABL1_p133729502	ABL1	760.0655400845911	513.4584988700902	694.1788206517526	233.00909466447055
ABL2_m179100447	ABL2	1398.9821136281848	995.9027259963494	1597.7131586429227	1490.0931603792892
ABL2_m179100544	ABL2	637.4743239419151	260.1752796288041	562.602442881159	306.9894822204399
ABL2_m179100554	ABL2	1035.5352140051925	701.2671444299554	940.4794292863614	1025.8225392603315
ABL2_m179100597	ABL2	610.0715815100228	742.6195067550633	945.0165457612095	748.5417166096116
ABL2_p179095768	ABL2	524.9788550109889	559.9799064858366	829.6441554007874	478.833689535487
ABL2_p179100489	ABL2	2260.0051258302738	1447.3326813787778	1767.5309467015213	2022.5189416876044
ABL2_p179100503	ABL2	933.1354922860161	964.8884542525185	1023.4438448264401	513.2025309984964
ABL2_p179100524	ABL2	679.2995623905929	458.3220157699463	776.4950766954245	1127.1814954393762
ABL2_p179100556	ABL2	594.206835891559	487.61327241689776	865.9410871995719	473.5909849055364
ABL2_p179100578	ABL2	611.5138311117014	553.0878460983187	564.5469213703796	516.1151446818022
ABLIM2_m8108265	ABLIM2	1557.6295698128245	1157.866145103022	1177.0576454748673	1347.957612633962
ABLIM2_m8108274	ABLIM2	536.5168518244172	1350.843835953526	1449.9327934621574	1582.7142755084162
ABLIM2_m8108279	ABLIM2	660.5503175687718	582.3791027452701	489.3604197871832	584.852827607821
ABLIM2_m8108294	ABLIM2	1022.5549675900857	2214.074399490154	1910.1260359110317	2274.7512866618936
ABLIM2_m8108316	ABLIM2	285.56542113235116	298.081611760153	158.79907661968198	177.0869119449976
ABLIM2_m8160405	ABLIM2	1311.0048879257938	1731.6301723638949	1436.9696035340203	1165.6279960590139
ABLIM2_p8108286	ABLIM2	918.7129962692306	966.611469349398	1145.9459896473377	1601.3550030815738
ABLIM2_p8108299	ABLIM2	921.5974954725878	1440.4406209912597	1669.6588627440847	1814.5583246995643
ABLIM2_p8108320	ABLIM2	147.1094593712112	65.47457368142089	100.4647219430641	238.8343220310823
ABLIM2_p8108331	ABLIM2	1276.390897485509	1123.4058431654323	1347.5235930298727	1098.0553586063174
ABT1_m26597238	ABT1	478.82686775727564	356.66412505405594	320.8389507213983	449.125029965767
